"LGA","Density","Installations","Capacity","IRSAD","Median Age - Persons (years)","Population density (persons/km2)","Total born overseas (%)","Bachelor Degree (%)","Completed Year 12 or equivalent (%)"
"Adelaide (C)",19.6,1337,10338,1058,30.8,1512.3,44.2,24.4,72.5
"Adelaide Hills (DC)",37.6,6478,34190,1072,43.8,49.9,16.9,19.5,56.9
"Albany (C)",16.4,2987,11065,968,42.4,8.6,18.9,9.6,40.5
"Albury (C)",18.8,5115,27597,956,38.3,170.5,10.8,11.3,41.2
"Alexandrina (DC)",43.9,7185,28037,961,50,14.5,16.2,9.1,38.4
"Alpine (S)",25.2,1783,8101,970,48.5,2.6,13.7,10.7,38.2
"Anangu Pitjantjatjara (AC)",1.9,20,226,717,27.3,0,2.9,4.6,20.4
"Ararat (RC)",20.1,1108,4885,931,45.7,2.8,9.5,7.6,32.2
"Armadale (C)",33.6,12402,49575,985,33.3,146.6,34.5,11.6,48.5
"Armidale Regional (A)",20.3,2690,13380,976,35.6,3.5,12.3,13.6,50.9
"Ashburton (S)",2.1,84,652,1011,36,0.1,26.5,8.5,41.9
"Augusta-Margaret River (S)",19.3,1653,7575,1005,39,7,21.1,15.8,52.2
"Aurukun (S)",0.7,5,91,641,28.4,0.2,2.1,2.4,16.4
"Ballarat (C)",13.4,6630,33953,965,37.3,140,9.5,12.8,45.3
"Ballina (A)",36.4,7314,29350,987,47.1,88.7,11,13.6,41.6
"Balonne (S)",25.4,606,3614,963,39,0.1,6,8.9,39.5
"Balranald (A)",15.8,211,154436,927,40.2,0.1,6.3,5.2,28.5
"Banana (S)",25.3,1755,8674,973,36.7,0.5,8.2,7.6,38.2
"Banyule (C)",12.2,5979,24481,1055,39.1,2037.8,23.4,20.6,60.9
"Barcaldine (R)",20.4,381,38190,972,41.4,0.1,5.7,9.3,39.4
"Barcoo (S)",15,30,221,965,45.5,0,3.4,5.2,32.8
"Barossa (DC)",42.6,4878,28503,987,43.1,27.1,11.4,9.8,40.4
"Barunga West (DC)",39.9,774,3265,934,54,1.6,7.8,5.4,28.4
"Bass Coast (S)",19.1,5162,22679,945,49.1,38.7,14.4,9.2,36.6
"Bassendean (T)",25.7,1802,6979,1008,38.5,1509.2,28.6,15.6,52.7
"Bathurst Regional (A)",17.9,3383,17636,973,36.4,11.1,8.6,11.3,42.3
"Baw Baw (S)",25.4,5582,26049,976,41.8,12.2,10.8,9.6,38.2
"Bayside (C)",10.4,3989,16937,1125,43.4,2765.6,25.3,26.3,68.1
"Bayswater (C)",21.5,6262,23490,1024,37.2,1987.2,39.2,18.4,58.4
"Bega Valley (A)",26.1,4607,17111,951,50.3,5.4,11.6,10.5,37.7
"Bellingen (A)",32.8,2037,7903,954,48.1,8.1,11.8,13.4,40.3
"Belmont (C)",19,3435,15695,987,34.3,1040.8,40.5,15.4,53.4
"Benalla (RC)",26.6,1731,7455,936,48.6,5.9,7.8,8,34.4
"Berri and Barmera (DC)",35.8,2019,15177,899,44.2,22.8,11.8,6.7,32.6
"Berrigan (A)",29.7,1404,183759,935,48.3,4.2,7.7,7,29.5
"Beverley (S)",39.7,362,1205,947,51.4,0.7,17.2,6.8,32.5
"Blackall-Tambo (R)",19.8,227,1428,940,46.1,0.1,4.5,6.3,34.4
"Blacktown (C)",21.2,23897,95630,993,33.3,1449.8,40.4,15.5,55.3
"Bland (A)",23.2,707,4946,954,41.8,0.7,4.8,6.8,28
"Blayney (A)",19.9,669,3615,965,41.5,4.8,6.2,9.5,35.5
"Blue Mountains (C)",21.1,7296,25625,1042,43.5,55.1,16.8,17.6,54.8
"Boddington (S)",26.8,239,1079,978,39.7,1,17.2,8.6,37
"Bogan (A)",30.8,431,104116,938,40,0.2,4.5,7.3,30.1
"Boroondara (C)",10.1,5578,23997,1128,37.7,2945.9,30.9,30.3,74.8
"Boulia (S)",15.8,47,356,872,33.8,0,5.4,3.4,31.3
"Bourke (A)",32.9,485,2835,932,35.8,0.1,3.8,8.2,28.4
"Boyup Brook (S)",20.3,202,794,974,48.1,0.6,13.6,8.9,38.1
"Brewarrina (A)",24.6,180,938,818,32.5,0.1,2.1,6.4,24.5
"Bridgetown-Greenbushes (S)",25.1,630,2304,959,48.5,3.5,22.6,9.6,39.3
"Brimbank (C)",16.6,11766,49970,930,35.2,1654.7,47.8,12.1,52.3
"Brisbane (C)",33.2,124091,536088,1060,34.5,882.4,30.6,22.1,66.7
"Broken Hill (C)",40.2,3913,66981,887,44,106.5,4.5,6,24.9
"Brookton (S)",28.8,145,709,938,46.2,0.6,10.5,5.8,34
"Broome (S)",3.7,490,5695,979,32.7,0.3,14.9,12.5,44.5
"Broomehill-Tambellup (S)",16.7,87,339,950,37.8,0.4,9.9,7.7,38.1
"Bruce Rock (S)",34.5,171,729,962,45.3,0.3,12.2,9.2,39
"Bulloo (S)",25.6,59,719,970,41.2,0,6.2,4.5,34.3
"Buloke (S)",24.9,829,4469,949,50.5,0.8,5.5,7.4,30
"Bunbury (C)",25.3,3713,14467,941,40.5,497.9,20.5,9.8,38
"Bundaberg (R)",37.3,16570,143988,909,44.6,14.7,11.9,7.5,34.3
"Burdekin (S)",34.8,2916,274821,934,43.8,3.4,8.3,6.3,33.9
"Burke (S)",5.7,10,182,921,36.2,0,7,4.7,33.9
"Burnside (C)",28.1,5665,27542,1100,43.4,1643.1,30.4,27.4,69.2
"Burwood (A)",10.7,844,3624,1043,33,5406.2,57.2,23.2,70.4
"Busselton (C)",25.8,5505,22331,993,41.6,26,18.2,11.1,43.4
"Byron (A)",36.2,5612,24163,1003,44,59,17.8,17.2,50.7
"Cabonne (A)",24.6,1554,63890,997,42.3,2.3,5.9,10.6,37.3
"Cairns (R)",28,17088,89304,971,36.9,95.6,21.4,11.9,49
"Cambridge (T)",23.5,2189,9843,1153,39.5,1274.9,29.1,31.8,72.6
"Camden (A)",20.3,6364,32638,1056,33,399.3,17.6,11.7,47.2
"Campaspe (S)",28.4,5164,27440,943,44.6,8.3,6.8,7.4,30.6
